step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
323,533,1.772,-13.827,27,194.0,189.2,44.3,49.4
324,536,2.400,-13.842,27,193.8,188.6,45.2,50.7
325,537,4.440,-14.054,29,193.6,187.3,45.7,53.2
326,538,5.749,-13.490,27,194.2,187.5,46.3,55.0
327,540,10.316,-11.647,23,194.8,186.6,46.8,58.1
328,541,11.056,-10.711,23,195.9,187.8,46.6,57.3
329,544,14.030,-10.947,29,198.0,189.7,45.5,56.3
330,546,14.349,-11.152,29,198.9,190.6,45.5,56.1
331,547,14.331,-11.820,29,199.8,192.2,44.7,54.2
332,548,14.579,-12.389,29,200.2,191.8,45.0,55.7
333,551,14.491,-13.890,29,201.6,193.4,44.3,54.4
334,552,14.425,-14.078,29,202.3,194.2,44.2,54.5
335,554,14.278,-15.255,31,203.3,195.2,44.5,54.8
336,556,13.812,-16.252,33,204.0,196.3,44.4,53.4
337,557,13.671,-17.579,35,204.6,196.4,44.7,54.8
338,560,12.908,-17.245,35,207.1,199.5,44.1,53.2
339,561,12.481,-18.236,37,204.9,197.6,44.3,53.6
340,562,12.329,-19.428,39,206.0,198.5,44.1,54.1
341,564,11.656,-18.888,37,204.7,198.1,44.3,52.6
342,565,11.024,-20.295,41,205.9,199.3,44.0,52.6
343,566,10.785,-20.341,41,207.2,200.5,43.5,52.2
344,567,10.502,-20.941,41,204.6,198.3,43.6,52.0
345,569,9.572,-21.682,43,207.0,200.7,42.6,50.8
346,572,8.960,-21.659,43,209.1,203.0,41.8,49.4
347,573,8.234,-21.861,43,209.9,203.7,41.6,49.1
348,576,7.463,-20.361,41,209.2,203.1,41.5,48.6
349,578,7.099,-18.433,37,208.5,202.5,41.8,49.5
350,579,6.914,-17.803,35,209.3,203.4,41.7,49.3
351,580,6.896,-16.864,33,210.1,204.2,41.5,49.0
352,582,6.282,-14.835,29,209.4,203.9,41.7,48.4
353,583,6.111,-13.257,27,210.2,204.7,41.6,48.2
354,585,6.014,-11.368,23,208.8,203.8,41.8,47.2
355,587,5.886,-9.666,19,210.3,205.6,41.7,46.5
356,589,3.688,-6.920,13,208.7,204.8,42.1,44.7
357,590,1.793,-3.857,7,209.2,206.3,42.4,43.5
358,591,1.405,-2.568,5,209.4,206.6,42.9,43.6
359,593,0.310,-0.605,3,207.2,204.6,43.9,43.6
360,595,0.080,-0.279,3,207.2,204.6,44.0,43.5
361,596,0.007,-0.030,3,204.5,202.0,44.5,44.0
362,597,-0.007,-0.014,3,204.6,202.0,44.5,44.0
363,599,-0.007,-0.001,3,204.5,202.0,44.5,44.0
364,601,-0.021,0.004,3,204.5,202.0,44.5,44.0
365,602,-0.033,0.010,3,204.5,202.0,44.5,44.0
366,603,-0.079,-0.001,3,204.5,202.0,44.5,44.0
367,604,-0.045,0.008,3,204.5,202.0,44.5,44.0
